"","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",3.29486979537768,3.29486979537768,3.29387291446011,3.29227740044463,3.290153299666,3.28685481471555,3.28161107477635,3.27568323614374,3.27134480411764,0.672102878827725,2.26963317895367,2.66857018018376,1.04504652627503,6.01597386655676,6.33465615328447,0.962654690005484,4.0814418464527,2.80777763663159,2.09438786047055,2.68753379756637,1.47440642130066,2.37866764146056,2.78725709523783,1.48283724114718,0.784280149024711,2.56515821167837,2.25894297378447,1.74008221114017,0.874029267991547,0.656155758872777,1.24191076791106,2.16371698045513,1.54700515675655,1.44596715893394,3.23368973947064,2.02124465120681,6.15735893910367,0.248018531536426,1.00071807592532,1.05828917005604,0.744492542736573,0.670836203367422,1.33362829864416,1.26197680143377,2.72285183495932,1.14775769805661,1.01027138194958,0.689524646892491,1.9658054613448,5.4041925344006,1.00030939815367,23.9774237360259,6.81921699998929,1.69508474320544
"2",3.13047229939423,3.13047229939423,3.1292569628233,3.12733739759959,3.12481171060077,3.12085392679939,3.11471635923554,3.10771830152333,3.10256573448692,0.313685749815576,3.60616124237149,1.82009280034375,3.26605831219377,5.15749589611333,3.63653250381234,3.0887038018223,4.24671070576401,1.00264236500995,3.40559352861811,1.96996546309961,1.68302038532543,2.13902807102015,2.40430932199468,2.26021297895684,0.317110587985627,2.55698036653496,2.85749038186397,1.13397628296462,0.760706578605595,0.714572201703668,1.21569845027208,2.52861557378576,0.71419754808963,2.11096118712224,2.81565453486889,1.92700505574085,5.76382316281853,0.224583499090278,1.12114138453919,0.959730029202664,0.467853887168384,0.839197072561176,0.878167666785698,1.08339547646968,2.72206644948873,1.13148721094197,1.22386105792381,0.41833539453331,1.22537120587786,5.15521863882267,0.694515015478101,20.1524205636073,2.36315229181956,0.815104900297015
"3",3.43525326332563,3.43525326332563,3.43262499388975,3.42844786229101,3.42287766713316,3.41408528940432,3.40036239591849,3.38506652740567,3.37363392919842,1.19692137611999,2.0282085514943,2.50457036086325,1.80606260665767,6.65881464933373,4.98758695001502,1.2748640630117,6.95167606914232,0.695890857935211,3.55972107195828,1.38089953042142,3.19781325924108,1.60188702161146,2.75150330075308,1.98079222147986,0.824342336697337,2.08678405785465,3.35498435441991,1.21187995368453,1.04996275514964,1.22808189667424,0.963041329774647,2.46632715805351,0.693239828957634,2.59396364915128,2.40858175518737,2.73101971257581,5.37477669378844,1.09362818484403,1.12440309981313,1.21082774541574,0.439074809039728,0.768743857819132,1.17459677481766,1.41163720638278,2.88443550430679,0.911882350549397,1.38037787747494,0.704552086898575,1.37396102073808,5.39678482204814,1.45656958333633,21.9185409002434,1.58552938192943,1.41594912658512
"4",3.082918128536,3.082918128536,3.08155167269801,3.07934496775572,3.07635914882357,3.07160904059661,3.06409110295534,3.0556427108079,3.04947849604937,1.69849767620216,2.29385638533578,2.28584280897483,4.06762382274888,3.79076759615471,4.32337991440237,2.82541672364677,5.7725091518957,1.14673525597061,3.35569776640672,2.46931918951644,1.73317522600545,1.89396437023915,3.4245272046698,1.37841249098362,1.38703816044152,2.3033274468141,2.31271956197767,1.65016476903848,0.684144219073193,1.09030565358117,1.39765101869387,2.24599291702189,1.48794155278013,1.51472915341442,3.22661445110066,1.43018424527528,6.48876800612253,0.183500115827403,0.738786851655154,1.5093005447605,0.253107473279727,0.904947782830086,1.11684912059599,1.02850430048473,2.67006105763137,1.45909563473681,0.86174803103667,0.816322473943284,0.855561707823482,5.81792756971626,0.284441153523876,19.201823178173,3.06533878513277,1.59588370307212
"5",3.52464943047918,3.52464943047918,3.52355314030631,3.52181539632475,3.51945779340309,3.5157919362732,3.51004291400853,3.50344807031305,3.49857519149389,2.62855228210773,1.62642835398976,1.87562524105239,1.95154096846414,7.11577980906798,3.95128204203564,2.45546597094487,6.02704986945726,0.621981915411985,4.09918572051541,1.66384715971808,2.80801403931831,1.78995142940597,2.93662851894639,1.56989384598181,0.80546045991934,2.55450065497606,2.29242360853141,2.19450478397916,0.847709459734827,1.15498668478694,1.15432876781697,2.75660545380809,0.746297408537467,2.35094069378464,2.30164448170326,3.42795943351702,4.96735803329697,0.855736684432835,0.799224627161368,1.60715136640775,0.534627261493653,0.562692818045167,1.45181617823472,1.0563165581581,3.04705959138664,1.29143255174986,1.48181384693071,0.688746947062688,2.01804683904124,5.5244849582041,1.31524237578565,23.6113337046821,2.61210306317566,0.409581634525688
"6",3.33448111915737,3.33448111915737,3.33324786260131,3.33128861658957,3.3286355776832,3.3244531251526,3.31788803184099,3.3105253627474,3.30506629896498,0.567261570367936,4.03782954922702,1.0318552439989,2.18300761051555,5.49473916064462,4.05117315982254,1.24545918672055,6.40064364237827,1.20037512040862,2.22653190879987,3.13279243009984,1.06469500759966,2.38819853999258,2.69998762285129,1.26865212055946,1.03911113813612,2.33317893740498,2.24971727536313,1.18673783012728,1.14840285228405,0.970249298087516,1.02449231398847,2.1057200251853,1.58244602528945,1.63459210809912,2.91846242190707,2.31592952917219,4.38167616927945,0.872444721667919,0.904471563044999,1.28050582330155,0.665521165286271,0.363128241439259,1.37251257200168,1.03403516558304,2.24743020032459,0.677589912501115,0.937812164659598,0.645660976804583,0.957993753363257,3.95136109580121,1.35310683739769,22.6551996904684,0.113142988383463,3.40030690597079
"7",3.13000024729195,3.13000024729195,3.12763296626067,3.1239329151846,3.11894855359913,3.11102536481502,3.09850055663559,3.08421230807066,3.07382663211232,2.93566596582267,1.85516789567886,0.950058742524589,4.49816078338778,3.43477118002429,5.90319186853769,0.549123479483622,4.95603949261557,2.36813358127342,3.33064485482369,1.46063713333084,2.64552351329925,1.91957588613098,2.53684477120345,1.65873462737459,1.04563507128609,1.97660397641649,2.80428141073451,1.16605501518389,1.02811795895238,0.967244865718047,1.14339697580576,2.56822673357836,0.770156745945085,1.82719287129186,3.37597727091485,1.88477181886487,5.94731914107384,0.419875900986623,0.814375464296651,0.959681418036188,0.883905243775691,0.554370079838942,0.965292985318328,1.57494911442368,2.85672404441036,1.34672477549411,1.07351985495212,0.810501157044257,1.00376844071677,5.38501746065918,1.18138558927372,27.3673790394746,1.01154916652243,2.32370024422993
"8",3.12391108172395,3.12391108172395,3.12273026267633,3.12084669071039,3.1183080394728,3.11428127583263,3.10810814530435,3.10092467505447,3.09565702460916,0.55651535855209,3.25819767237574,1.29475778051255,4.19940503080852,4.25023317331904,3.90249057876717,3.14712248911695,4.15788815373151,0.711758238830071,4.48426982737922,1.21795644587257,2.41220027228593,1.32578953535327,2.99203716222221,1.71136884445843,1.15875058460725,1.73950813920464,2.54718909361215,1.33277130958471,0.872117442894959,0.828483608170279,1.25642935489323,2.22677764130963,0.795987768345176,1.97598896687915,3.11238808619969,1.8908826670845,5.71234297083786,0.369489095592484,0.890832547248228,1.26134456816207,0.562211056241705,0.58902175483568,1.34142269743512,0.944360841679819,3.4822305166887,1.21438392042685,0.829314553267696,0.827361057541929,1.08330316310809,6.04464197558991,0.85049205176546,29.9029111797274,0.496637413139982,2.27497691481616
"9",3.25036380457474,3.25036380457474,3.24898765144429,3.24679567325902,3.24391278033836,3.23943235669216,3.23242072484552,3.22452802828977,3.218675925208,2.48763836936366,1.24709491218626,2.19124401513041,3.33574514587138,3.64784500876899,4.36254985939072,3.55646815794497,4.59665665493009,1.75675829537595,3.09256397612698,1.21176750085947,3.40632006689697,0.94002085820645,2.67529509052196,1.59019669682244,1.45190466267194,1.55483226034342,3.22226913571501,1.41703157771176,0.634883958766137,1.244670360159,0.924096329497898,2.73591081822469,0.794308453072857,2.17383529407449,3.4644456681593,1.47700935485612,6.04600603544469,0.198417683134382,0.575317629912543,1.51507580521821,0.577242035924104,0.789020974082874,0.632380580518189,1.54150769550748,2.27813507538609,1.52423455586788,0.999681316406579,0.647844241674774,2.15986671313403,3.71346418928723,2.20589891850505,18.9444582436662,0.816009952329978,2.05044159883036
"10",3.38203893063913,3.38203893063913,3.38050641595421,3.37805746110719,3.37472492370652,3.36948572093496,3.36115154408587,3.3517320882333,3.34495811651761,0.548929191543076,2.17427007017242,4.50390740667756,2.47338832991789,3.56580444436052,4.09564127882435,3.30634020460452,4.40249408572392,2.69855424765028,3.26731144084757,1.73807311612495,2.2082542103551,2.30262346298274,3.0291146688285,1.09231521033189,1.39115599911573,1.89602099490189,3.2300031822203,1.07875935880408,0.810680704165213,0.866038572457663,1.10227226787054,2.69931065132723,1.07738062037528,2.24544812911936,2.40378597918181,3.09770697756741,5.20497581630878,0.72141031501464,0.828029915908691,1.35710269487396,0.688966500064829,0.57928206043694,1.4158629624276,1.2333898380138,3.3032781219773,0.938236947741173,1.49989238755392,0.637249659488297,1.56855604442588,6.43636396685992,3.93291237809057,23.6484073248345,3.39919500856917,1.30168853038975
