"","Statistic","Bmsy","Fmsy","Umsy","legUmsy","Dmsy","MSY"
"means","mean","20.4323250310592","0.0170839959254751","0.073427142993716","0.0772797533546153","0.37796154801678","4.36995808653114"
"meds","median","20.3665896432627","0.0170269007529183","0.0732055188045238","0.0769792754475603","0.378123972239913","4.3627587510516"
"sd","sd","1.66979300797602","0.00314549186024385","0.0104621669323169","0.0113095803283629","0.0234206745448618","0.445451109767511"
