"Scenario","MP","Label","ProbBtGtLRP","AcceptProbDec","ObsProbDec","ProbBtGtBmsy","ProbB2052GtBmsy","ProbCtLt1992","medAvgCatch","medLowCatch","medHighCatch","medAAV","D2019","C2019","npvC_trap","npvC_LL","npvC_trawl","npvD_trap","npvD_LL","npvD_trawl","vptC_trap","vptC_LL","vptC_trawl"
"hiRec2016_loB","12","SP_cap1.5_rctAl_am10",1,0.43,0,0.68,0.53,0.03,3.42,2.84,3.99,9.11,0.34,3.39,312.46,255.46,50.11,9.12,10.88,30.76,18139.55,18332.49,17320.36
"hiRec2016_loB","13","SP_cap1.5_rctAl_am5",1,0.43,0,0.69,0.56,0.03,3.36,2.72,3.97,9.65,0.34,3.39,303.12,253.15,50.49,8.84,10.77,30.81,18140.41,18332.78,17323.33
"hiRec2016_loB","14","SP_frt_rctAl_am5",1,0.43,0,0.68,0.56,0.01,4.17,3.32,5.04,7.68,0.34,3.38,385.14,309.38,55.98,0,0,0,17975.4,18305.62,16211.81
"hiRec2016_loB","15","SP_noCap_rctAl_am5",1,0.43,0,0.69,0.53,0.03,3.43,2.94,3.94,7.98,0.34,3.39,318.6,254.2,49,9.33,10.86,30.25,18138.91,18332.32,17317.74
"simRec2016_loB","1","NoFish",1,0.25,0,0.76,1,1,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0
"simRec2016_loB","2","SP_cap.5_hstAl_am10",0.99,0.25,0.29,0.26,0.44,0.21,2.36,1.8,3.38,15.49,0.23,3.39,222.89,182.26,28.3,5.9,7.55,22.03,18198.42,18355.63,17184.55
"simRec2016_loB","3","SP_cap.5_hstAl_am5",0.99,0.25,0.29,0.26,0.44,0.18,2.4,1.85,3.39,15.42,0.23,3.39,226.41,189.52,25.9,6.02,7.86,19.76,18195.64,18354.67,17176.89
"simRec2016_loB","4","SP_cap.5_rctAl_am10",0.99,0.25,0.29,0.26,0.43,0.23,2.32,1.77,3.38,15.71,0.23,3.39,219.26,177.45,30.44,5.78,7.34,23.73,18200.61,18356.4,17194.84
"simRec2016_loB","5","SP_cap.5_rctAl_am5",0.99,0.25,0.29,0.26,0.44,0.22,2.34,1.8,3.38,15.64,0.23,3.39,220.43,180.96,29.2,5.82,7.49,22.36,18199.08,18355.96,17189.95
"simRec2016_loB","6","SP_cap1.0_hstAl_am10",0.99,0.25,0.32,0.26,0.44,0.23,2.32,1.83,3.38,14.96,0.23,3.39,219.37,179.35,30.43,5.79,7.41,23.77,18200.09,18356.25,17192.93
"simRec2016_loB","7","SP_cap1.0_hstAl_am5",0.99,0.25,0.29,0.26,0.44,0.21,2.37,1.83,3.38,15.39,0.23,3.39,220.12,184.48,29.05,5.82,7.63,22.31,18198.85,18355.89,17189.92
"simRec2016_loB","8","SP_cap1.0_rctAl_am10",0.99,0.25,0.32,0.25,0.42,0.25,2.28,1.79,3.38,15.37,0.23,3.39,214.86,173.79,32.92,5.64,7.17,25.83,18203.22,18357.1,17199.25
"simRec2016_loB","9","SP_cap1.0_rctAl_am5",0.99,0.25,0.31,0.26,0.44,0.25,2.29,1.79,3.38,16.09,0.23,3.39,212.51,174.24,33.02,5.57,7.18,25.62,18203.16,18357.28,17201.61
"simRec2016_loB","10","SP_cap1.5_hstAl_am10",0.99,0.25,0.32,0.26,0.44,0.24,2.3,1.82,3.38,14.51,0.23,3.39,217.07,175.1,31.82,5.71,7.23,24.95,18202.08,18356.74,17196.72
"simRec2016_loB","11","SP_cap1.5_hstAl_am5",0.99,0.25,0.32,0.25,0.44,0.23,2.32,1.83,3.38,14.57,0.23,3.39,218.01,178.01,31.33,5.74,7.35,24.28,18201.14,18356.59,17194.74
"simRec2016_loB","12","SP_cap1.5_rctAl_am10",0.99,0.25,0.32,0.25,0.42,0.25,2.29,1.82,3.38,14.58,0.23,3.39,214.34,172.98,33.19,5.63,7.13,26.15,18203.22,18357.25,17199.11
"simRec2016_loB","13","SP_cap1.5_rctAl_am5",0.99,0.25,0.32,0.26,0.43,0.25,2.28,1.8,3.38,15.31,0.23,3.39,212.32,173.35,33.4,5.56,7.14,26.18,18203.79,18357.44,17200.78
"simRec2016_loB","14","SP_frt_rctAl_am5",1,0.25,0.25,0.27,0.42,0.08,2.75,2.29,3.43,11.53,0.23,3.39,256.58,206.18,36.42,0,0,0,18016.95,18325.92,15810.34
"simRec2016_loB","15","SP_noCap_rctAl_am5",0.99,0.25,0.32,0.26,0.44,0.26,2.27,1.81,3.38,14.35,0.23,3.39,214.81,171.13,32.77,5.64,7.06,25.94,18203.02,18357.17,17199.19
